mass Ax,mass Ay,mass Bx,mass By,mass Cx,mass Cy,mass Dx,mass Dy,
t,x,y,x,y,x,y,x,y,
0.000,-4.403E-2,3.177E-2,-0.175,2.803E-2,-0.423,0.178,-5.902E-2,0.759
0.042,,,,,,,,
0.083,-6.652E-2,3.552E-2,-0.201,1.303E-2,-0.404,0.193,-6.277E-2,0.763
0.125,,,,,,,,
0.167,-9.276E-2,2.428E-2,-0.254,2.053E-2,-0.404,0.212,-9.276E-2,0.804
0.208,,,,,,,,
0.250,-0.108,2.803E-2,-0.276,5.535E-3,-0.404,0.227,-0.108,0.838
0.292,,,,,,,,
0.333,-0.138,9.283E-3,-0.291,5.535E-3,-0.389,0.249,-0.104,0.860
0.375,,,,,,,,
0.417,-0.291,3.927E-2,-0.441,0.110,-0.509,0.380,-0.145,0.913
0.458,,,,,,,,
0.500,-0.633,0.230,-0.700,0.347,-0.715,0.650,-0.198,1.051
0.542,,,,,,,,
0.583,-0.756,0.369,-0.820,0.500,-0.805,0.793,-0.235,1.130
0.625,,,,,,,,
0.667,-0.779,0.512,-0.820,0.632,-0.809,0.898,-0.273,1.228
0.708,,,,,,,,
0.750,-0.546,0.474,-0.621,0.583,-0.651,0.834,-0.231,1.299
0.792,,,,,,,,
0.833,-0.138,0.452,-0.213,0.497,-0.396,0.729,-0.138,1.287
0.875,,,,,,,,
0.917,6.842E-2,0.429,-5.902E-2,0.482,-0.239,0.673,-6.652E-2,1.269
0.958,,,,,,,,
1.000,0.192,0.440,5.343E-2,0.470,-0.141,0.654,-2.529E-2,1.216
1.042,,,,,,,,
1.083,0.241,0.478,9.841E-2,0.500,-0.104,0.662,-8.526E-2,1.246
1.125,,,,,,,,
1.167,0.293,0.512,0.151,0.538,-5.902E-2,0.662,-8.151E-2,1.224
1.208,,,,,,,,
1.250,0.308,0.497,0.173,0.538,-3.653E-2,0.658,-6.652E-2,1.190
1.292,,,,,,,,
1.333,0.323,0.478,0.185,0.493,-4.403E-2,0.609,-5.153E-2,1.153
1.375,,,,,,,,
1.417,0.342,0.407,0.192,0.418,-4.778E-2,0.560,-5.153E-2,1.104
1.458,,,,,,,,
1.500,0.361,0.373,0.200,0.384,-4.403E-2,0.500,-4.778E-2,1.044
1.542,,,,,,,,
1.583,0.365,0.350,0.196,0.384,-3.279E-2,0.485,-4.778E-2,1.006
1.625,,,,,,,,
1.667,0.263,0.152,9.091E-2,0.159,-0.153,0.253,-4.403E-2,0.946
1.708,,,,,,,,
1.750,0.211,0.148,7.217E-2,0.148,-0.179,0.245,-4.028E-2,0.879
1.792,,,,,,,,
1.833,0.151,1.678E-2,-2.798E-3,1.678E-2,-0.261,7.675E-2,-4.028E-2,0.823
1.875,,,,,,,,
1.917,0.121,-1.962E-3,-2.154E-2,-1.962E-3,-0.291,9.925E-2,-5.902E-2,0.778
1.958,,,,,,,,
2.000,3.094E-2,2.803E-2,-0.108,9.283E-3,-0.370,0.125,-5.528E-2,0.763
